trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.6, 'e': 0.7949999999999998}",20,0,-127.64901693380105,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.6, 'e': 0.7899999999999998}",30,18,-7.410054288378829,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.6, 'e': 0.7849999999999998}",25,16,-7.14136982290264,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.6, 'e': 0.7799999999999998}",20,4,-94.24331586142199,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
45,False,"{'a': 0.6, 'e': 0.7749999999999998}",20,0,-50.392328071562154,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
46,False,"{'a': 0.6, 'e': 0.7699999999999998}",35,11,-73.4068549343576,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 1}",1
47,False,"{'a': 0.6, 'e': 0.7649999999999998}",30,0,-34.06806999950288,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.6, 'e': 0.7599999999999998}",25,0,-61.5369395286171,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
49,False,"{'a': 0.6, 'e': 0.7549999999999998}",25,19,8.60677432421674,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.6, 'e': 0.7499999999999998}",30,15,-6.885136682705826,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.6, 'e': 0.7449999999999998}",20,0,-137.81669918029664,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
52,False,"{'a': 0.6, 'e': 0.7399999999999998}",20,0,-90.56389090524614,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
53,False,"{'a': 0.6, 'e': 0.7349999999999998}",20,0,-150.67392681734592,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
54,False,"{'a': 0.6, 'e': 0.7299999999999998}",25,1,-38.35156151769435,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.6, 'e': 0.7249999999999998}",20,0,-99.09134944370872,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.6, 'e': 0.7199999999999998}",25,0,-61.312983863320106,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.6, 'e': 0.7149999999999997}",30,21,9.128349886141779,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.6, 'e': 0.7099999999999997}",25,0,-89.93205957769268,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
59,False,"{'a': 0.6, 'e': 0.7049999999999997}",25,0,-110.49762933055807,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
60,False,"{'a': 0.6, 'e': 0.6999999999999997}",35,0,-41.43289781891983,"{0: 25, 1: 5, 2: 5, 3: 0, 4: 0}",0
61,False,"{'a': 0.6, 'e': 0.6949999999999997}",25,0,-87.57141002088366,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
62,False,"{'a': 0.6, 'e': 0.6899999999999997}",20,0,-83.71137471752007,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
63,False,"{'a': 0.6, 'e': 0.6849999999999997}",25,0,-62.07294346864393,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.6, 'e': 0.6799999999999997}",20,14,13.740824240292085,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.6, 'e': 0.6749999999999997}",25,8,-3.342819920045571,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.6, 'e': 0.6699999999999997}",20,0,-11.562961878347256,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.6, 'e': 0.6649999999999997}",20,0,-115.2798769767078,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
68,False,"{'a': 0.6, 'e': 0.6599999999999997}",20,0,-27.420770583245943,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
69,False,"{'a': 0.6, 'e': 0.6549999999999997}",20,0,-77.73363003742548,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.6, 'e': 0.6499999999999997}",25,0,-71.23001918421055,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
71,False,"{'a': 0.6, 'e': 0.6449999999999997}",20,0,-5.523386567560918,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.6, 'e': 0.6399999999999997}",20,0,-59.63502015385804,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
73,False,"{'a': 0.6, 'e': 0.6349999999999997}",30,0,-75.26962174754753,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.6, 'e': 0.6299999999999997}",20,0,-53.2013932153163,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
75,False,"{'a': 0.6, 'e': 0.6249999999999997}",25,13,7.864925141004912,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
